condition,condition_label,initialization,mutation,seed,run_id,generation,best_search_fitness,wikitext2_ppl,stage2_candidate_evaluations_cumulative,stage2_evaluated_tokens_cumulative,total_candidate_evaluations_cumulative,total_evaluated_tokens_cumulative,stage2_runtime_minutes_cumulative,total_runtime_minutes_cumulative
standard_standard,Standard initialization + standard mutation,standard,standard,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,6,0.92431640625,15.046875,194,311296,194,311296,4.0104412516579035,4.0104412516579035
standard_standard,Standard initialization + standard mutation,standard,standard,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,7,0.88134765625,,221,360448,221,360448,4.218982570401082,4.218982570401082
standard_standard,Standard initialization + standard mutation,standard,standard,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,8,0.86962890625,,248,409600,248,409600,4.434318214717011,4.434318214717011
standard_standard,Standard initialization + standard mutation,standard,standard,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,9,0.83642578125,,275,458752,275,458752,4.639140505157411,4.639140505157411
standard_standard,Standard initialization + standard mutation,standard,standard,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,10,0.818359375,,302,507904,302,507904,4.845251780965676,4.845251780965676
standard_standard,Standard initialization + standard mutation,standard,standard,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,11,0.79345703125,13.2734375,329,557056,329,557056,6.090295781536649,6.090295781536649
standard_standard,Standard initialization + standard mutation,standard,standard,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,12,0.79248046875,,356,606208,356,606208,6.296820704235385,6.296820704235385
standard_standard,Standard initialization + standard mutation,standard,standard,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,13,0.78857421875,,383,655360,383,655360,6.501400571378569,6.501400571378569
standard_standard,Standard initialization + standard mutation,standard,standard,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,14,0.78857421875,,410,704512,410,704512,6.703133858802418,6.703133858802418
standard_standard,Standard initialization + standard mutation,standard,standard,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,15,0.775390625,,437,753664,437,753664,6.907828615419566,6.907828615419566
